Country Name,year,GDP per capita (current US$),"Population, total"
Afghanistan,2019,502.1154869,38041754
Albania,2019,5352.857411,2854191
Algeria,2019,3948.343279,43053054
American Samoa,2019,NA,55312
Andorra,2019,40886.39116,77142
Angola,2019,2973.59116,31825295
Antigua and Barbuda,2019,17790.30931,97118
Arab World,2019,6580.056257,427870270
Argentina,2019,10006.14897,44938712
Armenia,2019,4622.733493,2957731
Aruba,2019,NA,106314
Australia,2019,54907.10191,25364307
Austria,2019,50277.27509,8877067
Azerbaijan,2019,4793.58702,10023318
"Bahamas, The",2019,32933.48601,389482
Bahrain,2019,23503.97713,1641172
Bangladesh,2019,1855.739824,163046161
Barbados,2019,18148.24493,287025
Belarus,2019,6663.295293,9466856
Belgium,2019,46116.69923,11484055
Belize,2019,4815.163711,390353
Benin,2019,1219.432672,11801151
Bermuda,2019,NA,63918
Bhutan,2019,NA,763092
Bolivia,2019,3552.068762,11513100
Bosnia and Herzegovina,2019,6073.265203,3301000
Botswana,2019,7961.33814,2303697
Brazil,2019,8717.186278,211049527
British Virgin Islands,2019,NA,30030
Brunei Darussalam,2019,31086.75108,433285
Bulgaria,2019,9737.601351,6975761
Burkina Faso,2019,774.8396902,20321378
Burundi,2019,261.2474725,11530580
Cabo Verde,2019,3603.781794,549935
Cambodia,2019,1643.121389,16486542
Cameroon,2019,1497.909176,25876380
Canada,2019,46194.72523,37589262
Caribbean small states,2019,10307.58628,7401381
Cayman Islands,2019,NA,64948
Central African Republic,2019,467.9074406,4745185
Central Europe and the Baltics,2019,16184.33201,102378579
Chad,2019,709.5403101,15946876
Channel Islands,2019,NA,172259
Chile,2019,14896.45387,18952038
China,2019,10261.67913,1397715000
Colombia,2019,6432.387583,50339443
Comoros,2019,1393.522372,850886
"Congo, Dem. Rep.",2019,545.2162123,86790567
"Congo, Rep.",2019,2011.072399,5380508
Costa Rica,2019,12238.37496,5047561
Cote d'Ivoire,2019,2286.162777,25716544
Croatia,2019,14853.23984,4067500
Cuba,2019,NA,11333483
Curacao,2019,NA,157538
Cyprus,2019,27858.371,1198575
Czech Republic,2019,23101.7777,10669709
Denmark,2019,59822.09296,5818553
Djibouti,2019,3408.846254,973560
Dominica,2019,8300.375074,71808
Dominican Republic,2019,8282.116222,10738958
Early-demographic dividend,2019,3641.494281,3290290622
East Asia & Pacific,2019,11526.73649,2340628292
East Asia & Pacific (excluding high income),2019,8222.07773,2093675040
East Asia & Pacific (IDA & IBRD countries),2019,8308.334363,2067984156
Ecuador,2019,6183.823825,17373662
"Egypt, Arab Rep.",2019,3020.03135,100388073
El Salvador,2019,4187.250031,6453553
Equatorial Guinea,2019,8131.923888,1355986
Eritrea,2019,NA,NA
Estonia,2019,23659.87229,1326590
Eswatini,2019,3837.026994,1148130
Ethiopia,2019,857.501351,112078730
Euro area,2019,38925.66511,342597698
Europe & Central Asia,2019,24696.33961,921140092
Europe & Central Asia (excluding high income),2019,8110.721448,399404587
Europe & Central Asia (IDA & IBRD countries),2019,8988.92805,460799505
European Union,2019,34843.29747,447512041
Faroe Islands,2019,NA,48678
Fiji,2019,6220.046421,889953
Finland,2019,48685.85399,5520314
Fragile and conflict affected situations,2019,2190.311626,798138587
France,2019,40493.92857,67059887
French Polynesia,2019,NA,279287
Gabon,2019,7667.366861,2172579
"Gambia, The",2019,751.2946884,2347706
Georgia,2019,4769.186543,3720382
Germany,2019,46258.87829,83132799
Ghana,2019,2202.115567,30417856
Gibraltar,2019,NA,33701
Greece,2019,19582.53601,10716322
Greenland,2019,NA,56225
Grenada,2019,10965.51316,112003
Guam,2019,NA,167294
Guatemala,2019,4619.987097,16604026
Guinea,2019,1064.131237,12771246
Guinea-Bissau,2019,697.7844029,1920922
Guyana,2019,5468.356629,782766
Haiti,2019,754.5879177,11263077
Heavily indebted poor countries (HIPC),2019,947.0612336,801708035
